	GST_1	GST_2	GST_3	GST-RdCDC3_1	GST-RdCDC3_2	GST-RdCDC3_3	GST-RdCDC6_1	GST-RdCDC6_2	GST-RdCDC6_3	GST-RdCDC9_1	GST-RdCDC9_2	GST-RdCDC9_3
196	98.42041	90.03645	111.543134	104.71321	90.44027	104.84661	95.50283	103.15156	101.34561	110.16077	89.03537	100.80386
391	96.16039	103.52017	102.27217	98.1414	95.87372	104.48866	101.66431	98.73229	94.87961	98.26367	89.67846	97.42765
781	103.32928	96.83276	109.35601	73.22365	70.96487	72.2988	97.33711	91.46601	98.05241	83.82637	82.18654	80.32154
1560	115.30984	85.41923	92.34508	70.92145	61.21832	65.29435	89.55382	94.09348	107.18839	79.64633	79.69785	74.42398
3130	115.43135	96.96233	100.24301	42.2988	39.21298	42.29435	80.20538	89.05099	99.61756	81.22186	68.61736	69.6463
6250	99.27096	82.38153	92.7096	38.81725	26.14475	28.14986	94.92918	98.90227	89.1289	78.81029	74.95177	76.49518
12500	96.3548	93.75456	91.66464	18.1414	15.87372	19.48662	95.80737	92.23796	90.72238	72.82958	76.01286	73.24759
25000	95.06683	94.66586	89.67193	12.80569	12.33908	13.47265	80.09915	87.03682	86.08982	73.21543	69.67532	72.2283
50000	95.23694	98.54192	89.59903	13.60605	13.59262	12.53089	67.45751	67.03258	73.07802	61.70418	64.53376	67.90997
100000	98.77278	96.74362	96.34265	13.87283	15.60694	14.68443	68.8839	51.6289	59.27762	63.95498	61.35048	69.54984
200000	93.91252	94.15553	103.88821	13.07248	12.6723	14.40471	25.81445	31.55099	29.00142	50.64309	41.09325	49.67846
