	GST_1	GST_2	GST_3	GST-RdCDC3_1	GST-RdCDC3_2	GST-RdCDC3_3	GST-RdCDC6_1	GST-RdCDC6_2	GST-RdCDC6_3	GST-RdCDC9_1	GST-RdCDC9_2	GST-RdCDC9_3
196	104.767214	92.38095	101.71823	108.5618	92.74568	98.69253	95.83975	95.22342	108.9368	104.31697	90.51233	105.17087
391	101.108603	96.50794	98.45361	108.18224	100.97019	88.57022	90.75501	91.01543	106.31742	104.17465	95.49339	98.021458
781	101.75177	99.25641	97.25086	97.93336	100.9865	102.86811	103.5439	100.23651	95.8552	97.21364	96.48956	99.19355
1560	99.58982	95.23817	97.63048	68.95825	56.68494	77.56221	90.18498	98.02763	99.84592	98.20479	87.23909	102.89376
3130	98.92464	102.2276	100.1718	34.54239	42.90173	36.95065	92.94319	102.61943	92.61947	97.69414	98.48197	97.16325
6250	100.42131	100.93244	101.6838	13.91818	13.53859	13.159	98.02771	94.63798	98.32054	94.23654	92.22015	96.12976
12500	101.9048	100.30297	100.26398	13.14278	12.65289	13.63047	90.77084	94.29892	98.32051	91.41236	91.18643	90.00951
25000	99.04762	96.7354	97.10643	13.03248	13.32045	14.04471	94.02378	95.1002	92.9276		93.21632	88.48197
50000	98.25397	87.11349		12.63214	12.02024	11.38767	97.5501	95.2388	89.22958	94.63205	96.167	94.7438
100000	85.30654	95.36976	95.20315	13.96312	11.13454	11.12864	98.92142	96.91834	92.23698	92.1822	91.06375	89.87562
200000	84.44444	95.189	85.12039	13.1036	11.26107	11.64066	92.3112	96.62357	99.55325	90.74162	91.85965	89.82932
