species	dsGFP_1	dsGFP_2	dsGFP_3	dsGFP_5	dsCDC9_2	dsCDC9_3	dsCDC9_4	dsCDC9_5
Actinomyces_viscosus	0	0	0	27764989	0	0	0	0
Pauljensenia_sp_20925_1_34	0	0	0	35742240	0	0	0	0
Schaalia_odontolytica	23495666266	57954067470	7696187255	15484942164	7458693009	13124950694	22246399265	95919798237
Streptomyces_geysiriensis	0	1126821	0	4043175	1174348	23817758	0	1667388499
Streptomyces_sp_JV178	2650000	32949245	0	1025994	853301	2248330	0	1358735
Streptomyces_sp_SID10244	6152308	3661767	1280278	588090	1216197	2054586	2310897	16517370
Actinotalea_sp_	883783	0	1221855	0	1306047	615885	0	19804127
Brachybacterium_sacelli	0	0	0	15157255	0	0	0	0
Microbacterium_esteraromaticum	0	0	0	18648782	0	0	0	0
Microbacterium_saccharophilum	0	0	0	9136791	0	0	0	0
Plantibacter_sp_CFBP_13570	16401813	46924920	3934267	3680300	3757442	9060724	25337677	37094867
Arthrobacter_sp_ATA002	0	0	0	5539147	0	0	0	0
Candidatus_Corynebacterium_faecigallinarum	0	0	0	25420234	0	0	0	0
Corynebacterium_atrinae	0	0	0	3034477	0	0	0	0
Corynebacterium_flavescens	0	0	0	14083993	0	0	0	0
Corynebacterium_glyciniphilum	2213695	6938466	681334	13614814837	1577369	3752713	3305922	11782905
Corynebacterium_kalidii	0	0	0	25308309	0	0	0	0
Corynebacterium_provencense	0	0	0	6366182	0	0	0	0
Corynebacterium_sp_CNJ_954	0	0	0	388247489	0	0	427226	0
Corynebacterium_sp_ED61	0	0	0	9093581	0	0	0	0
Corynebacterium_sp_USCH3	0	0	0	55403205	0	0	0	0
Corynebacterium_variabile	0	0	0	54871391	0	0	0	0
Rhodococcus_sp_C3V	11789099	12505035	857632	3903805	8522191	866709	5237969	22393494
Nocardioides_antri	23745618	70704444	8961766	21173436	10047289	18757402	15093118	106600101
Nocardioides_cremeus	3424647	2343318	654399	2249170	1252004	1653970	1478318	6223057
Nocardioides_humilatus	4895508	45800136	7303261	13866452	7438168	15658477	7142251	66199571
Nocardioides_sp_OK12	51809797	103503120	17157649	45942748	25314274	28480584	41940910	234417126
Profundirhabdus_halotolerans	14104453	25222889	3205139	10881985	4800988	13452124	9923334	58660357
Chthonomonadetes_bacterium	11819344	30065517	5789672	9311892	4303538	11272403	20952468	93823467
Cohnella_sp_REN36	14784003	13399245	1862084	8969742	1995894	10685198	6419071	123976082
Paenibacillus_albiflavus	3210935	0	536411	0	644529	545750	2444754	17486174
Paenibacillus_crassostreae	0	0	0	0	0	0	0	17486174
Paenibacillus_marchantiophytorum	1735153797	3954944873	463329923	862739302	391257689	867802479	1107808213	5572392729
Paenibacillus_tyrfis	0	16862785	0	0	825729	3763271	0	0
Sporosarcina_highlanderae	3307282	8047583	1112943	0	1059408	2235155	0	44217089
Ureibacillus_terrenus	13990759	33689210	3396669	13729949	4044395	6105205	11264450	124424372
Staphylococcus_sp_FSL_K6_0223	0	4111493	0	0	0	0	0	0
Lactococcus_cremoris	0	15322318	0	0	0	0	0	34586960
Lactococcus_lactis	0	16690920	0	0	0	0	0	108231760
Lactococcus_sp_EKM201L	0	5446039	0	0	0	0	0	4738542
Lactococcus_sp_FSL_K6_0773	3757600	7455264	799866	1831521	438194	463350	1720663	25461062
Lactococcus_sp_FSL_W8_0209	1918255	7860296	0	0	0	0	0	11128749
Lactococcus_sp_NH2_7C	0	5655968	388450	0	0	0	0	29172480
Lactococcus_sp_S47	209155118	9627775305	159278419	130467817	72040821	90810698	95995973	42222833743
Lactococcus_sp_S64	5077253	13024860	0	0	0	0	0	50115943
Clostridium_cadaveris	21600220	15322318	3546970	6340046	3650057	2812175	11863552	36954000
Clostridium_chromiireducens	8993251	2645941	1112943	0	1410879	0	10257918	19246711
Gracilibacteraceae_bacterium	25388868	5134032	3614617	3245119	2707999	5003154	5438307	86540936
Defluviitaleaceae_bacterium	0	4686159	0	0	0	0	0	0
Paeniclostridium_hominis	15212176	15929347	2915103	5866971	5115229	5178185	19242449	43310693
Candidatus_Protoclostridium_stercorigallinarum	10367274	2207234	616461	0	296795	0	0	49428989
Duncaniella_sp_B8	0	0	0	0	213284	449773	0	21718193
Segatella_oulorum	0	0	0	0	0	4458551	0	0
Chitinophaga_agrisoli	13174959	24527644	2473168	1620332	5699495	7790845	3583202	37427873
Hanamia_caeni	7614486625	17629039219	2246707310	4180476934	1673758571	3945968226	4735682548	29523852007
Hanamia_sp_	2705402611	7057831700	907842347	1778915597	666317546	1506369848	1827088907	12155152406
Blattabacterium_sp_Periplaneta_americana_	1099765114	2662705233	447403012	960886793	453621844	703504873	1164624005	3968266278
Myroides_sp_JBRI_B21084	2913501	0	241775	565334	235348	0	0	0
Sinomicrobium_sp_	0	4945049	0	0	329033	0	2069809	0
Chryseobacterium_bernardetii	134034842	221554462	26964287	62897124	23723129	31889507	57012029	444474345
Chryseobacterium_nakagawai	0	0	30404	0	0	0	0	0
Chryseobacterium_oncorhynchi	0	0	270124	0	0	0	0	0
Chryseobacterium_pennae	0	524900	0	0	0	0	0	0
Chryseobacterium_sp_StRB126	0	0	0	0	106945	0	0	0
