id	dsGFP_1	dsGFP_2	dsGFP_3	dsGFP_5	dsCDC9_2	dsCDC9_3	dsCDC9_4	dsCDC9_5
VFC0001	37795986.74	16199202.97	16106726.47	14940980.91	278871375.4	57999068.81	124540447.8	82707957.97
VFC0086	80448472.44	44784188.43	77120887.79	89806023.45	441537700.9	397845862.2	750323993.8	184281706.3
VFC0301	24226787.83	16417345.74	19372292.78	22861650.16	97086258.47	95119446.89	211496384.6	55946765.24
VFC0258	37000964.63	30830219.3	16854004.47	13758084.33	448962698.8	76321099.7	119666758.3	120689952.5
VFC0272	98016296.42	36768225.78	46894223.38	54663820.79	67926805.55	245593979.4	491369026.1	139141554.9
VFC0325	11302932.8	3090329.17	6072424.637	5386169.884	2393283.315	25742059.75	47465539.58	10118913.65
VFC0083	2499094.984	4553648.16	6569953.725	6098211	2056965.284	23562409.91	59484820.35	12198137.7
VFC0204	54262318.42	51402829.21	71574030.93	76570350.42	31298808.73	401744792.4	711195111.9	240736243.5
VFC0251	246292.2855	12359178.02	0	0	0	0	0	24459846.25
VFC0271	10347961.66	0	0	215897.4645	0	0	0	0
VFC0346	0	0	0	4601453.196	0	0	0	0
